"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"PWY_7208_SP_of_pyrimidine_nucleobases_salvage"	"diagnosis"	"CD"	"diagnosisCD"	-0.00106126708347516	0.14215648026673	0.816039177739708	NA	0.947123324090953	"abundance"	763	753	1.01310744800186e-40	1.13062791197008e-37
"PWY_7208_SP_of_pyrimidine_nucleobases_salvage"	"diagnosis"	"UC"	"diagnosisUC"	0.00559106838287384	0.156303285215049	0.813103963385791	NA	0.947123324090953	"abundance"	763	753	8.93502287614992e-38	4.98574276489165e-35
"NONMEVIPP_PWY_methylerythritol_phosphate_pwy_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.64778470175283	0.0902387595659888	8.66841479838665e-16	NA	9.67395091499951e-13	"abundance"	763	757	1.73368295967733e-15	6.44930060999967e-13
"NONMEVIPP_PWY_methylerythritol_phosphate_pwy_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-1.74214485592284	0.953720203884399	0.0677473869508928	NA	0.270496839534837	"prevalence"	763	757	1.73368295967733e-15	6.44930060999967e-13
"PWY_5173_SP_of_acetyl_CoA_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	3.11106481921604	0.421700764244012	9.13113904774153e-12	NA	5.09517558863977e-09	"abundance"	763	324	1.82622780953996e-11	5.0951755886165e-09
"PWY_5173_SP_of_acetyl_CoA_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	1.06382179449884	0.390910825789006	0.00650075222145758	NA	0.0782768483990795	"prevalence"	763	324	1.82622780953996e-11	5.0951755886165e-09
"PWY_5083_NAD_NADH_phosphorylation__dephosphorylation"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	2.52050068711382	0.354452324139765	3.15401445513453e-11	NA	1.17329337731004e-08	"abundance"	763	419	6.30802891016957e-11	1.40795205274985e-08
"PWY_5083_NAD_NADH_phosphorylation__dephosphorylation"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	0.858354893122968	0.452442413174117	0.0578070446124717	NA	0.241338916290851	"prevalence"	763	419	6.30802891016957e-11	1.40795205274985e-08
"PWY_5101_L_isoleucine_biosyn_II"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	0.144458873214115	0.423584264339808	0.907505772332361	NA	0.975143509537201	"abundance"	763	543	8.32985886215618e-10	1.54935374836105e-07
"PWY_5101_L_isoleucine_biosyn_II"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.34629918517435	0.535603435204788	4.16492943194542e-10	NA	1.52436417209203e-07	"prevalence"	763	543	8.32985886215618e-10	1.54935374836105e-07
"ASPASN_PWY_SP_of_L_aspartate__L_asparagine_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	0.893830704313265	0.127927100503754	7.53606987627131e-10	NA	1.68205079638376e-07	"abundance"	763	758	1.50721397468634e-09	1.86894532861106e-07
"PWY_1042_glycolysis_IV"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.467099948472832	0.0915458530064444	1.38923077161813e-09	NA	2.58396923520972e-07	"abundance"	763	763	1.38923077161813e-09	1.86894532861106e-07
"PWY_4041_beta_glutamyl_cyc"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	2.73478088378627	0.399752657223819	6.00919194224453e-10	NA	1.67656455188622e-07	"abundance"	763	240	1.2018383880878e-09	1.86894532861106e-07
"ASPASN_PWY_SP_of_L_aspartate__L_asparagine_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-1.03469754753181	0.957016932486568	0.279621708972771	NA	0.561288183641869	"prevalence"	763	758	1.50721397468634e-09	1.86894532861106e-07
"PWY_4041_beta_glutamyl_cyc"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	1.43292835842491	0.403188564582069	0.000379432811243068	NA	0.0130192883357778	"prevalence"	763	240	1.2018383880878e-09	1.86894532861106e-07
"PWY_5973_cis_vaccenate_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.886407517268673	0.16190681314285	2.14124570540434e-09	NA	3.41375743890177e-07	"abundance"	763	745	4.28249140622374e-09	4.77926040934569e-07
"PWY_5973_cis_vaccenate_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-3.14768359927303	0.961889343056777	0.00106639799170682	NA	0.0252698268052812	"prevalence"	763	745	4.28249140622374e-09	4.77926040934569e-07
"PWY_5097_L_lysine_biosyn_VI"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.465606283451366	0.0930345950007423	2.86594361744189e-09	NA	3.99799134633143e-07	"abundance"	763	760	5.73188722667013e-09	5.81526013178534e-07
"PWY_5097_L_lysine_biosyn_VI"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-12.4369380740509	196.657210521486	0.949574032279984	NA	0.999999952271712	"prevalence"	763	760	5.73188722667013e-09	5.81526013178534e-07
"UDPNAGSYN_PWY_UDP_N_acetyl_D_glucosamine_biosyn_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	1.80918840834884	0.30405282905438	3.07125730954115e-08	NA	3.70411296147725e-06	"abundance"	763	488	6.14251452475609e-08	5.71253850802316e-06
"UDPNAGSYN_PWY_UDP_N_acetyl_D_glucosamine_biosyn_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	1.23918222584506	0.43357198387522	0.0042621660794002	NA	0.059536505791849	"prevalence"	763	488	6.14251452475609e-08	5.71253850802316e-06
"PWY_5667_CDP_diacylglycerol_biosyn_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.475130472220308	0.102476631167268	3.65100739930554e-08	NA	3.70411296147725e-06	"abundance"	763	760	7.3020146653125e-08	5.82074883320625e-06
"PWY0_1319_CDP_diacylglycerol_biosyn_II"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.475130472220308	0.102476631167268	3.65100739930554e-08	NA	3.70411296147725e-06	"abundance"	763	760	7.3020146653125e-08	5.82074883320625e-06
"PWY_5667_CDP_diacylglycerol_biosyn_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-13.5040428379958	244.089391209391	0.955880207221279	NA	0.999999952271712	"prevalence"	763	760	7.3020146653125e-08	5.82074883320625e-06
"PWY0_1319_CDP_diacylglycerol_biosyn_II"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-13.5040428379958	244.089391209391	0.955880207221279	NA	0.999999952271712	"prevalence"	763	760	7.3020146653125e-08	5.82074883320625e-06
"P461_PWY_hexitol_fermentation_to_lactate_formate_ethanol__acetate"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	2.15494439654157	0.357866243473576	5.74293349685852e-08	NA	5.34092815207843e-06	"abundance"	763	273	1.14858666639042e-07	8.54548479794471e-06
"P461_PWY_hexitol_fermentation_to_lactate_formate_ethanol__acetate"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	0.768826193374678	0.373299537686858	0.0394423159165493	NA	0.195868692575741	"prevalence"	763	273	1.14858666639042e-07	8.54548479794471e-06
"PWY_7383_anaerobic_energy_metabolism"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	0.0121464405610817	0.319493773467581	0.794932405952533	NA	0.938646373038716	"abundance"	763	655	1.46574929850759e-07	1.02236013570904e-05
"PWY_7383_anaerobic_energy_metabolism"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.5753315032703	0.478426563408215	7.32874676109057e-08	NA	2.01174098591936e-05	"prevalence"	763	655	1.46574929850759e-07	1.02236013570904e-05
"PWY0_1261_anhydromuropeptides_recycling"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	1.86041138058444	0.319591565086153	9.78121770203078e-08	NA	8.39679919651257e-06	"abundance"	763	263	1.95624344473393e-07	1.28421628489592e-05
"PWY0_1261_anhydromuropeptides_recycling"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	1.66789286922614	0.404330867543468	3.7062306224866e-05	NA	0.00254340076468143	"prevalence"	763	263	1.95624344473393e-07	1.28421628489592e-05
"PWY66_399_gluconeogenesis_III"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.410809072053824	0.354302043012919	0.153724130554964	NA	0.461781162696441	"abundance"	763	630	3.03381276395219e-07	1.88096391365036e-05
"PWY66_399_gluconeogenesis_III"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.43137370752607	0.46307510015659	1.51690649702636e-07	NA	3.33112666746989e-05	"prevalence"	763	630	3.03381276395219e-07	1.88096391365036e-05
"PWY0_162_SP_of_pyrimidine_rnt_de_novo_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.789854316923508	0.169179966909253	2.24505487370074e-07	NA	1.77540609621733e-05	"abundance"	763	720	4.49010924337435e-07	2.63734837663462e-05
"PWY0_162_SP_of_pyrimidine_rnt_de_novo_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-1.86545102323509	0.578668665291483	0.00126548303933874	NA	0.0267211610998833	"prevalence"	763	720	4.49010924337435e-07	2.63734837663462e-05
"PWY_5177_glutaryl_CoA_deg"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-1.39261710566837	0.285120346656811	2.38629851642114e-07	NA	1.77540609621733e-05	"abundance"	763	711	4.77259646340022e-07	2.66310882657732e-05
"PWY_5177_glutaryl_CoA_deg"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.714363608619	0.571946738961791	2.07650163525913e-06	NA	0.000207920873115827	"prevalence"	763	711	4.77259646340022e-07	2.66310882657732e-05
