"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"1"	"Phocaeicola sartorii"	"Read depth"	"Read depth"	"reads"	1.09514373725997	0	0.0787239668301347	5.41737101378567e-44	1.05855429609372e-40	1.08347420275714e-43	1.14414875811154e-40	NA	"prevalence"	1527	424
"2"	"Faecalibacterium prausnitzii"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.49194163836917	0	0.282163617540849	3.54275099714693e-35	3.46126772421255e-32	7.08550199429391e-35	3.74114505298719e-32	NA	"prevalence"	1527	1374
"3"	"Bifidobacterium longum"	"Age"	"Age"	"age"	-0.672428387468092	0	0.0593867641608605	1.01111001373663e-29	4.93927241710342e-27	2.02222002747324e-29	7.11821449670581e-27	NA	"prevalence"	1527	843
"4"	"Clostridium sp. AM49 4BH"	"Diagnosis"	"CD"	"diagnosisCD"	-1.81049294555846	0	0.162948238658055	1.11100671030317e-28	4.34181422386478e-26	2.22201342060633e-28	5.86611543040072e-26	NA	"prevalence"	1527	344
"5"	"Phocaeicola dorei"	"Read depth"	"Read depth"	"reads"	0.65950022958877	0	0.0634326812084893	2.56258274545074e-25	8.34547780768459e-23	5.12516549090151e-25	1.0824349516784e-22	NA	"prevalence"	1527	769
"6"	"GGB16040 SGB9347"	"Age"	"Age"	"age"	0.959785431885208	0	0.0943561467875372	2.64574976490589e-24	7.38542148660872e-22	5.2914995298118e-24	9.31303917246876e-22	NA	"prevalence"	1527	114
"7"	"Firmicutes bacterium AF16 15"	"Diagnosis"	"UC"	"diagnosisUC"	-1.67302568460685	0	0.165975284149971	6.77476366502364e-24	1.65473602518202e-21	1.35495273300473e-23	2.0440429800757e-21	NA	"prevalence"	1527	827
"8"	"Eubacterium rectale"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.36034123205341	0	0.237168802828556	2.46774705145763e-23	5.35775304283134e-21	4.93549410291527e-23	6.51485221584816e-21	NA	"prevalence"	1527	1211
"9"	"Phascolarctobacterium faecium"	"Age"	"Age"	"age"	0.573582942756144	0	0.05778324700496	3.19401931541863e-23	6.24111374232801e-21	6.38803863083726e-23	7.49529866018239e-21	NA	"prevalence"	1527	503
"10"	"Dysosmobacter welbionis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.39540766502285	0	0.241667222753396	3.69147814631094e-23	6.55740754353779e-21	7.38295629262187e-23	7.7964018450087e-21	NA	"prevalence"	1527	1191
"11"	"Blautia faecis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.41789548597885	0	0.248936141086085	2.65630578460566e-22	4.32535125259955e-20	5.31261156921132e-22	5.10010710644287e-20	NA	"prevalence"	1527	1125
"12"	"Fusicatenibacter saccharivorans"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.34982606021717	0	0.243286566702391	4.51664499955289e-22	6.78886486855873e-20	9.03328999910582e-22	7.94929519921312e-20	NA	"prevalence"	1527	1119
"13"	"Lachnospira sp. NSJ 43"	"Diagnosis"	"CD"	"diagnosisCD"	-1.65444063973956	0	0.176984858163163	8.93865989505542e-21	1.16440942899589e-18	1.78773197901108e-20	1.45218843833516e-18	NA	"prevalence"	1527	296
"14"	"Bacteroides ovatus"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.12944188701312	0	0.228316539484205	1.09209356907842e-20	1.33371927123702e-18	2.18418713815684e-20	1.6475011556383e-18	NA	"prevalence"	1527	1176
"15"	"Clostridium sp. AM49 4BH"	"Diagnosis"	"UC"	"diagnosisUC"	-1.56682180970953	0	0.16960646406172	2.51184944378274e-20	2.8871493018538e-18	5.02369888756548e-20	3.5366840168461e-18	NA	"prevalence"	1527	344
"16"	"Bacteroides faecis"	"Read depth"	"Read depth"	"reads"	0.599573256652432	0	0.0657369505860103	7.4575174133567e-20	8.09554945872166e-18	1.49150348267135e-19	9.84392298563089e-18	NA	"prevalence"	1527	434
"17"	"Dysosmobacter welbionis"	"Read depth"	"Read depth"	"reads"	0.719033593058648	0	0.0798212170207683	2.09750839877172e-19	2.04926570559997e-17	4.19501679754345e-19	2.6058457283564e-17	NA	"prevalence"	1527	1191
"18"	"Roseburia sp. AF02 12"	"Diagnosis"	"CD"	"diagnosisCD"	-1.38133207948781	0	0.153624019305375	2.43565459307431e-19	2.26631860707962e-17	4.87130918614863e-19	2.85783472254053e-17	NA	"prevalence"	1527	363
"19"	"Clostridiales bacterium"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.46290899961471	0	0.275191886061891	3.56166187811641e-19	3.1634033226543e-17	7.12332375623282e-19	3.95906836135887e-17	NA	"prevalence"	1527	985
"20"	"Alistipes putredinis"	"Diagnosis"	"UC"	"diagnosisUC"	-1.41881124867536	0	0.159222447352137	5.06315949565022e-19	4.30148419760892e-17	1.01263189913004e-18	5.34669642740663e-17	NA	"prevalence"	1527	873
"21"	"Parabacteroides distasonis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.99483627501521	0	0.225180696004265	8.08625273374346e-19	6.32021513669389e-17	1.61725054674869e-18	8.13245989222198e-17	NA	"prevalence"	1527	1140
"22"	"Clostridium sp. AT4"	"Diagnosis"	"UC"	"diagnosisUC"	1.41495613892002	0	0.160974676271486	1.49653159586667e-18	1.12470105320134e-16	2.99306319173336e-18	1.43667033203201e-16	NA	"prevalence"	1527	528
"23"	"Gemmiger formicilis"	"Diagnosis"	"UC"	"diagnosisUC"	-1.44746012581736	0	0.164872569095093	1.64545079301112e-18	1.19081883316435e-16	3.29090158602225e-18	1.51095307601717e-16	NA	"prevalence"	1527	472
"24"	"Coprococcus eutactus"	"Age"	"Age"	"age"	0.649187236894288	0	0.0740854074996768	1.906504870912e-18	1.33046804205787e-16	3.81300974182399e-18	1.67772428640256e-16	NA	"prevalence"	1527	177
"25"	"Vescimonas coprocola"	"Diagnosis"	"CD"	"diagnosisCD"	-1.19942666904347	0	0.138951055251296	6.02839829258536e-18	3.9264967545706e-16	1.20567965851707e-17	5.09279087757612e-16	NA	"prevalence"	1527	599
"26"	"Clostridium fessum"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.66453221259049	0	0.309121800094995	6.7139175862956e-18	4.23193385923277e-16	1.34278351725912e-17	5.45376690086783e-16	NA	"prevalence"	1527	926
