"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Feature58"	"Metadata_2"	"1"	"Metadata_21"	-4.89729885772598	0	0.519425296288175	7.62507686648125e-13	5.48243026700002e-10	7.62507686648125e-13	3.20253228392213e-10	NA	"abundance"	100	58
"Feature88"	"Metadata_5"	"1"	"Metadata_51"	7.8599105412674	0	0.819277033107393	2.99360718792845e-12	1.07620178406028e-09	5.98721437584793e-12	1.25731501892806e-09	NA	"abundance"	100	49
"Feature3"	"Metadata_1"	"1"	"Metadata_11"	4.98925528855495	0	0.920070391646703	5.87091946371639e-08	1.40706369813736e-05	1.17418385827558e-07	1.64385740158581e-05	NA	"prevalence"	100	40
"Feature10"	"Metadata_1"	"1"	"Metadata_11"	-4.1908482080237	0	0.669412609243584	3.9609337068381e-07	5.29244263181301e-05	3.9609337068381e-07	4.15898039218001e-05	NA	"abundance"	100	40
"Feature39"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-2.73302170125366	0	0.541185011560708	4.41650289163812e-07	5.29244263181301e-05	8.83300383272646e-07	6.18310268290853e-05	NA	"prevalence"	100	27
"Feature82"	"Metadata_1"	"1"	"Metadata_11"	4.10779645036407	0	0.812221387807162	4.24824670550896e-07	5.29244263181301e-05	8.49649160625791e-07	6.18310268290853e-05	NA	"prevalence"	100	33
"Feature45"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.72474474586009	0	0.345593562056127	6.01690249716401e-07	5.40769111932616e-05	1.20338013740165e-06	6.31774572135864e-05	NA	"prevalence"	100	47
"Feature88"	"Metadata_4"	"Metadata_4"	"Metadata_4"	3.36212388322094	0	0.670546424047011	5.3308285950526e-07	5.40769111932616e-05	1.06616543483318e-06	6.31774572135864e-05	NA	"prevalence"	100	49
"Feature80"	"Metadata_1"	"1"	"Metadata_11"	2.62214260242364	0	0.53879998012507	1.13514647745201e-06	9.06855908097774e-05	2.2702916663465e-06	0.000105946944429503	NA	"prevalence"	100	41
"Feature97"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-2.93082401496484	0	0.474591152279936	6.19895970062072e-06	0.00044570520247463	1.23978809741401e-05	0.000520711000913883	NA	"abundance"	100	25
"Feature26"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.50669023221238	0	0.346772753197277	1.39344072101262e-05	0.00091080352582552	2.78686202525481e-05	0.000975401708839182	NA	"prevalence"	100	22
"Feature56"	"Metadata_4"	"Metadata_4"	"Metadata_4"	5.92906018677423	0	1.00462238578415	1.74128328233378e-05	0.00104331889999832	1.74128328233378e-05	0.00066485361689108	NA	"abundance"	100	23
"Feature69"	"Metadata_5"	"1"	"Metadata_51"	2.48621283733471	0	0.59558922668589	2.98805094500531e-05	0.00165262202266063	5.97601260552612e-05	0.00193071176486229	NA	"prevalence"	100	28
"Feature83"	"Metadata_3"	"Metadata_3"	"Metadata_3"	5.4467556401097	0	1.06894511973445	7.55479791267021e-05	0.00387992835657849	0.000151090250756254	0.00423052702117512	NA	"abundance"	100	24
"Feature49"	"Metadata_1"	"1"	"Metadata_11"	-5.45300474181795	0	1.0206902442368	8.21550542666834e-05	0.00393796560118303	8.21550542666834e-05	0.0024646516280005	NA	"abundance"	100	21
"Feature58"	"Metadata_1"	"1"	"Metadata_11"	1.8471606194564	0	0.473036198102587	9.42630628040482e-05	0.00423594638475692	0.000188517240083087	0.00465748475499392	NA	"prevalence"	100	58
"Feature16"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.08189235842355	0	0.280306079888223	0.000113534627383809	0.0048018468875858	0.000227056364656003	0.0052979818419734	NA	"prevalence"	100	29
"Feature87"	"Metadata_5"	"1"	"Metadata_51"	-3.59498396471208	0	0.955415066273869	0.000168058043787784	0.00671298519352317	0.000168058043787784	0.00441152364942934	NA	"prevalence"	100	23
"Feature45"	"Metadata_1"	"1"	"Metadata_11"	2.16391492622807	0	0.579535940118714	0.000188555885830025	0.00679613123648006	0.000377076218337968	0.0079390968514575	NA	"prevalence"	100	47
"Feature49"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.73209633647112	0	0.463967906513359	0.000189043984324897	0.00679613123648006	0.000378052231021786	0.0079390968514575	NA	"prevalence"	100	21
"Feature51"	"Metadata_2"	"1"	"Metadata_21"	1.60776297469477	0	0.440772596811841	0.000264699314350637	0.00906280033419563	0.000529328562974257	0.0101053634749631	NA	"prevalence"	100	57
"Feature71"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.993293813775639	0	0.274771716014093	0.000300372683596204	0.00981672543207594	0.000600655143443358	0.0109684852280961	NA	"prevalence"	100	75
"Feature49"	"Metadata_5"	"1"	"Metadata_51"	-5.59798487106692	0	1.22708356286329	0.00037414768274645	0.0116961819084651	0.000748155379004395	0.0130927191325769	NA	"abundance"	100	21
"Feature23"	"Metadata_5"	"1"	"Metadata_51"	-3.36798896305874	0	0.961381923995294	0.000459568085472787	0.0137678938939556	0.000459568085472787	0.00919136170945575	NA	"prevalence"	100	20
"Feature99"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.51616482253553	0	0.440692768552768	0.000580828633823192	0.016704631508755	0.00116131990574451	0.0195101744165079	NA	"prevalence"	100	15
"Feature64"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-3.22801239925778	0	0.828401553544145	0.000611743844037839	0.0169170701485849	0.00122311345754496	0.0197579866218801	NA	"abundance"	100	32
"Feature84"	"Metadata_1"	"1"	"Metadata_11"	-4.53951769729723	0	0.918766321693231	0.000801266049147928	0.0205753674763343	0.00160189007101434	0.0231997872353801	NA	"abundance"	100	15
"Feature39"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-3.65908411188162	0	0.943257872089828	0.000866897349469667	0.0214930756644376	8.83300383272646e-07	6.18310268290853e-05	NA	"abundance"	100	27
"Feature67"	"Metadata_1"	"1"	"Metadata_11"	-2.31589700550647	0	0.661170573403773	0.00114871117038135	0.0275307777168065	0.00229610280340975	0.0321454392477365	NA	"abundance"	100	46
"Feature97"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.835814848853305	0	0.259320662574506	0.00126813969386816	0.0294126593513292	1.23978809741401e-05	0.000520711000913883	NA	"prevalence"	100	25
"Feature22"	"Metadata_2"	"1"	"Metadata_21"	-3.20446349590557	0	1.0083290745791	0.00148297948109789	0.0325095509099826	0.00148297948109789	0.0223814015305165	NA	"prevalence"	100	14
"Feature28"	"Metadata_5"	"1"	"Metadata_51"	3.05919531903235	0	0.963156929724035	0.00149209343536777	0.0325095509099826	0.00149209343536777	0.0223814015305165	NA	"prevalence"	100	16
"Feature49"	"Metadata_5"	"1"	"Metadata_51"	-2.05912545491865	0	0.670192266789888	0.00212316589217976	0.0448987140140367	0.000748155379004395	0.0130927191325769	NA	"prevalence"	100	21
"Feature79"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.01000005426052	0	0.313571198763709	0.00449769973519983	0.0923956031316764	0.00897517016749164	0.121599079688596	NA	"abundance"	100	25
"Feature79"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.07396722428343	0	0.33557558349918	0.00471024289622151	0.0940740178439797	0.00939829940430163	0.123352679681459	NA	"abundance"	100	25
"Feature37"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.999904392562056	0	0.34424272412953	0.00525422767294126	0.102102424239048	0.0104808484374434	0.133392616476553	NA	"abundance"	100	62
"Feature25"	"Metadata_1"	"1"	"Metadata_11"	-5.25090713855123	0	0.048438512248811	0.00587251672248656	0.109446307400599	0.0117105469923172	0.142055169081382	NA	"abundance"	100	7
"Feature44"	"Metadata_1"	"1"	"Metadata_11"	3.72949904797621	0	0.957496070688345	0.00593658691046365	0.109446307400599	0.0118379307567818	0.142055169081382	NA	"abundance"	100	13
"Feature15"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.93270273971959	0	0.600950251851428	0.00675523679259401	0.119012531171262	0.013464840361064	0.148920786412731	NA	"abundance"	100	19
"Feature42"	"Metadata_2"	"1"	"Metadata_21"	4.07547024894666	0	1.01856667759293	0.00710940338471535	0.119012531171262	0.0141682631529441	0.148920786412731	NA	"abundance"	100	12
"Feature56"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.85854274095393	0	0.607778969268864	0.00711757835933834	0.119012531171262	0.0141844967969754	0.148920786412731	NA	"abundance"	100	23
"Feature95"	"Metadata_5"	"1"	"Metadata_51"	1.20170967134819	0	0.445815309614951	0.00702762145207041	0.119012531171262	0.0140058554408672	0.148920786412731	NA	"prevalence"	100	45
"Feature84"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.85192879643167	0	0.318483632913259	0.00747396943015803	0.119417422672969	0.0148920786412731	0.148920786412731	NA	"prevalence"	100	15
"Feature95"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.68089295173541	0	0.254356615498963	0.00743018154404776	0.119417422672969	0.014805155490318	0.148920786412731	NA	"prevalence"	100	45
"Feature20"	"Metadata_5"	"1"	"Metadata_51"	5.79878607995984	0	1.88800044320096	0.0077574117567478	0.121251718545688	0.0154546460763319	0.150952357024637	NA	"abundance"	100	21
"Feature84"	"Metadata_2"	"1"	"Metadata_21"	1.78434864758096	0	0.678885401501789	0.00858001108791438	0.13125591430235	0.01708640558556	0.163097507862164	NA	"prevalence"	100	15
"Feature25"	"Metadata_4"	"Metadata_4"	"Metadata_4"	1.76399855040201	0	0.0264091283224446	0.0095302330747114	0.142754949598281	0.0189696408069645	0.177049980865002	NA	"abundance"	100	7
"Feature10"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.623774646699784	0	0.248517603211659	0.0120737403940833	0.177163660068283	0.0240017055810629	0.21914600747927	NA	"prevalence"	100	40
"Feature22"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.05525487847829	0	0.429707284587431	0.0140589819573518	0.198204078967371	0.0140589819573518	0.148920786412731	NA	"prevalence"	100	14
"Feature25"	"Metadata_5"	"1"	"Metadata_51"	-1.5037672690749	0	0.0405706773782326	0.0171714280719669	0.237428015072004	0.034047998201903	0.304258707336155	NA	"abundance"	100	7
"Feature25"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.728639389816882	0	0.0242823197040869	0.0212078651357971	0.282378796900706	0.041965956727976	0.359708200525509	NA	"abundance"	100	7
"Feature33"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.695259594795513	0	0.301180761459508	0.0209743299573653	0.282378796900706	0.0415087373975703	0.359708200525509	NA	"prevalence"	100	88
"Feature80"	"Metadata_2"	"1"	"Metadata_21"	1.15010329698348	0	0.503009819948839	0.0222283533936774	0.290585201637347	0.0439626070927606	0.369285899579189	NA	"prevalence"	100	41
"Feature37"	"Metadata_5"	"1"	"Metadata_51"	-0.951927634410955	0	0.427654028197237	0.0260189169913088	0.334064309227697	0.051360849941217	0.422971705398257	NA	"prevalence"	100	62
"Feature43"	"Metadata_5"	"1"	"Metadata_51"	-1.39283773557915	0	0.629276776711492	0.0268704618181147	0.33894494819692	0.0530189019179106	0.428229592413893	NA	"prevalence"	100	14
