feature	Feature1	Feature2	Feature3	Feature4	Feature5	Feature6	Feature7	Feature8	Feature9	Feature10	Feature13	Feature15	Feature16	Feature17	Feature18	Feature19	Feature20	Feature21	Feature22	Feature23	Feature24	Feature25	Feature28	Feature29	Feature30	Feature31	Feature32	Feature33	Feature34	Feature35	Feature36	Feature37	Feature38	Feature40	Feature41	Feature42	Feature43	Feature44	Feature45	Feature46	Feature48	Feature49	Feature50	Feature51	Feature52	Feature53	Feature54	Feature55	Feature56	Feature58	Feature59	Feature60	Feature62	Feature63	Feature64	Feature65	Feature66	Feature67	Feature68	Feature69	Feature70	Feature71	Feature72	Feature73	Feature74	Feature75	Feature76	Feature77	Feature78	Feature79	Feature80	Feature81	Feature82	Feature83	Feature84	Feature85	Feature86	Feature87	Feature88	Feature89	Feature90	Feature91	Feature92	Feature93	Feature94	Feature95	Feature96	Feature97	Feature98	Feature99	Feature100	Feature101
Sample1	11837	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	94	40	0	1	0	0	0	0	0	3848	0	63	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	765	0	0	0	1671	0	0	0	0	0	0	1	0	0	103	0	0	0	141	419	0	0	121	0	0	0	4420
Sample2	0	0	0	0	0	0	0	0	0	6	146	0	79	0	40	0	0	0	0	42	0	0	0	0	0	0	6	764	0	0	0	0	0	0	0	3273	0	299	0	0	0	0	0	0	0	0	0	0	0	0	5	15200	0	0	0	18	1111	0	0	0	0	0	0	0	40	1720	0	0	16	848	1867	0	0	2	0	0	108	61	0	0	0	0	0	0	94595	0	0	0	0	0	0	14610
Sample3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	4	0	0	0	0	0	0	0	0	0	212	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25327	0	0	4	0	0	0	2624
Sample4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	28	0	5	0	73	0	0	0	0	2	0	0	10	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	1	0	0	0	0	0	411	51314	0	0	0	0	0	0	5419
Sample5	68	1	0	0	0	203	1	0	24	0	23	0	0	0	0	0	0	72	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	35	0	9530	0	1125	15	0	0	0	0	0	12	0	0	49	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	1	0	5234	221	0	0	0	0	0	0	1658
Sample6	0	0	0	0	0	0	0	10	0	0	128	0	0	0	0	0	3910	3	0	0	0	0	22	0	0	0	14	0	0	0	0	0	0	0	0	0	0	51	13	0	0	2	0	0	182	0	0	1658	0	0	20	1939	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	2264	77081	34	0	0	0	0	0	16492
Sample7	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37186	0	0	0	0	0	0	6010
Sample8	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	622	0	2	0	0	0	0	0	0	1	0	0	17	0	0	5	150	0	0	0	0	0	0	120	0	0	0	18	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	13926	0	0	0	0	0	0	1478
Sample9	3103	0	0	0	15	0	0	0	9	0	6	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	291	0	170	1	0	0	0	0	0	26	0	0	653	0	0	0	210	0	1619	0	6	0	0	0	0	0	0	0	0	0	16281	0	0	0	18	30	0	0	0	0	0	0	1	0	0	0	0	0	129	1351	0	0	0	0	0	224	2961
Sample10	78	0	0	14	0	0	0	0	0	0	6	0	0	0	0	0	9	38	0	0	35	0	0	0	0	0	19	1	0	0	0	0	0	2	0	64	0	45	0	0	0	0	0	0	0	0	0	9	0	0	7	2213	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	127	635	0	0	0	0	0	0	1	0	40	0	0	0	108	45059	0	0	0	0	0	0	5170
